Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID	POST
450	Spectrogram 1	1	4006.921039388	4007.416724795	2284.000	2592.200	E	
463	Spectrogram 1	1	4054.568097716	4055.063783123	2284.000	2592.200	E	
473	Spectrogram 1	1	4094.575837238	4095.071522645	2284.000	2592.200	E	
479	Spectrogram 1	1	4118.352926774	4118.848612181	2284.000	2592.200	E	
492	Spectrogram 1	1	4178.678003546	4179.173688953	2284.000	2592.200	E	
506	Spectrogram 1	1	4242.416392976	4242.912078383	2284.000	2592.200	E	
521	Spectrogram 1	1	4299.095958950	4299.591644357	2284.000	2592.200	E	
529	Spectrogram 1	1	4342.911747968	4343.407433375	2284.000	2592.200	E	
590	Spectrogram 1	1	4199.896143580	4200.411372140	2363.400	2703.800	E	
603	Spectrogram 1	1	4387.563697381	4388.185524952	2382.400	2684.900	E	
610	Spectrogram 1	1	4439.441880619	4439.992642183	2439.100	2666.000	E	
2	Spectrogram 1	1	2259.832629658	2260.266046744	2420.200	2741.600	F	
13	Spectrogram 1	1	2315.165199117	2315.680427676	2439.100	2703.800	F	
25	Spectrogram 1	1	2362.050996188	2362.655057258	2420.200	2666.000	F	
36	Spectrogram 1	1	2406.662680999	2407.248975566	2401.300	2741.600	F	
50	Spectrogram 1	1	2470.302285222	2470.870813287	2420.200	2722.700	F	
62	Spectrogram 1	1	2516.299757192	2516.779452747	2420.200	2703.800	F	
70	Spectrogram 1	1	2549.665247117	2550.304841190	2458.000	2703.800	F	
77	Spectrogram 1	1	2577.398754989	2577.931750050	2401.300	2760.500	F	
